Epoch 58 | Loss -0.8619 ± 0.0685 | Feature Std 22.1853 ± 0.9749 | Momentum 0.9985
Epoch 59 | Loss -0.8608 ± 0.0655 | Feature Std 22.9432 ± 0.6965 | Momentum 0.9985
Epoch 60 | Loss -0.8525 ± 0.0777 | Feature Std 23.5206 ± 0.6298 | Momentum 0.9986
Epoch 61 | Loss -0.8505 ± 0.0740 | Feature Std 23.2575 ± 0.5761 | Momentum 0.9987
Epoch 62 | Loss -0.8644 ± 0.0698 | Feature Std 23.9332 ± 0.5931 | Momentum 0.9987
Epoch 63 | Loss -0.8651 ± 0.0720 | Feature Std 24.1934 ± 0.6479 | Momentum 0.9988
Epoch 64 | Loss -0.8605 ± 0.0759 | Feature Std 24.6655 ± 0.7400 | Momentum 0.9988
Epoch 65 | Loss -0.8683 ± 0.0694 | Feature Std 25.4699 ± 0.6162 | Momentum 0.9989
Epoch 66 | Loss -0.8604 ± 0.0737 | Feature Std 25.2287 ± 0.6969 | Momentum 0.9989
Epoch 67 | Loss -0.8614 ± 0.0724 | Feature Std 25.4809 ± 0.7280 | Momentum 0.9990
Epoch 68 | Loss -0.8621 ± 0.0727 | Feature Std 25.7890 ± 0.8094 | Momentum 0.9991
Epoch 69 | Loss -0.8567 ± 0.0675 | Feature Std 25.8023 ± 0.8312 | Momentum 0.9991
Epoch 70 | Loss -0.8662 ± 0.0704 | Feature Std 26.4180 ± 0.9042 | Momentum 0.9992
Epoch 71 | Loss -0.8612 ± 0.0691 | Feature Std 26.4592 ± 0.9255 | Momentum 0.9992
Epoch 72 | Loss -0.8728 ± 0.0690 | Feature Std 27.5430 ± 0.7673 | Momentum 0.9993
Epoch 73 | Loss -0.8581 ± 0.0744 | Feature Std 27.1832 ± 0.7453 | Momentum 0.9993
Epoch 74 | Loss -0.8616 ± 0.0752 | Feature Std 27.5788 ± 0.8596 | Momentum 0.9994
Epoch 75 | Loss -0.8546 ± 0.0832 | Feature Std 28.6068 ± 0.8601 | Momentum 0.9994
