epoch,avg_loss,loss_std,avg_feature_std,feature_spread,momentum
1,-0.935319,0.088356,2.175735,0.329474,0.996
2,-0.976873,0.005484,2.621103,0.187929,0.996001
3,-0.974231,0.007064,2.973559,0.298844,0.996004
4,-0.982482,0.032441,3.704979,0.499483,0.996009
5,-0.999961,0.000113,4.157936,0.301976,0.996016
6,-0.999952,0.000119,4.527832,0.445954,0.996025
7,-0.999642,0.005346,4.953896,0.236946,0.996036
8,-0.99999,3.7e-05,4.772732,0.239529,0.996049
9,-0.999932,0.001221,4.708541,0.240327,0.996064
10,-0.999924,0.001331,4.730439,0.252322,0.996081
11,-0.999989,9.7e-05,4.752071,0.24982,0.9961
12,-0.999969,0.000537,4.764019,0.246549,0.996121
13,-0.999733,0.004841,4.945637,0.27192,0.996143
14,-0.999981,5.8e-05,5.380947,0.245783,0.996168
15,-0.999994,2.6e-05,5.42895,0.277094,0.996194
16,-0.999176,0.012356,5.969707,0.850855,0.996222
17,-0.999554,0.006211,8.02556,0.605777,0.996252
18,-0.999997,3e-06,8.579881,0.390242,0.996284
19,-0.999761,0.004921,8.727265,0.468257,0.996317
20,-0.999992,1.2e-05,8.870943,0.5062,0.996353
21,-0.999775,0.004755,9.066335,0.634424,0.996389
22,-0.999996,8e-06,9.450828,0.778871,0.996428
23,-0.987689,0.109584,11.256935,3.10203,0.996468
24,-0.999813,0.002225,18.863752,1.275186,0.996509
25,-0.999377,0.005983,19.288088,1.318613,0.996553
26,-0.997822,0.014371,20.274708,1.180281,0.996597
27,-0.998715,0.010625,20.66333,1.125093,0.996643
28,-0.999995,9e-06,20.695957,1.097357,0.99669
29,-0.999996,3e-06,20.708551,1.062903,0.996739
30,-0.99988,0.002593,20.739883,1.144689,0.996789
31,-0.999645,0.005808,20.787071,1.163545,0.99684
32,-0.99971,0.003819,21.04801,1.207781,0.996892
33,-0.999637,0.005729,21.731936,1.073136,0.996946
34,-0.999877,0.002727,22.110893,0.985952,0.997
35,-0.999877,0.00273,22.328869,1.06879,0.997055
36,-0.999507,0.010955,22.543755,1.087849,0.997112
37,-1.0,0.0,22.684921,0.996213,0.997169
38,-0.999632,0.00471,22.782322,1.070693,0.997227
39,-1.0,1e-06,23.012812,1.097099,0.997286
40,-0.999995,6.2e-05,23.159237,1.175456,0.997346
41,-0.999635,0.006056,23.859507,1.226789,0.997406
42,-0.99926,0.008628,24.547499,1.21405,0.997467
43,-0.999621,0.006145,26.174006,1.28509,0.997528
44,-0.999109,0.009215,26.838171,1.810648,0.99759
45,-0.999622,0.005848,26.559025,1.89792,0.997653
46,-0.998998,0.009991,28.247513,2.333348,0.997715
47,-0.999752,0.005302,29.508965,1.746609,0.997778
48,-0.999641,0.003863,29.313457,1.919404,0.997842
49,-0.999522,0.004773,29.497398,2.104109,0.997905
50,-0.999997,2.4e-05,30.896826,2.130968,0.997968
51,-0.999189,0.010002,32.307812,2.052395,0.998032
52,-0.999999,3e-06,32.907249,2.332231,0.998095
53,-1.0,0.0,32.981182,2.197132,0.998158
54,-1.0,1e-06,33.005886,2.254601,0.998222
55,-1.0,4e-06,33.043777,2.239108,0.998285
56,-0.999756,0.005385,33.490097,2.370901,0.998347
57,-0.999999,7e-06,33.678967,2.274503,0.99841
58,-0.999882,0.002608,33.939735,2.383334,0.998472
59,-0.982777,0.131277,39.57238,4.984611,0.998533
60,-0.999581,0.005878,44.926079,1.786697,0.998594
61,-0.999692,0.00333,43.85627,1.963673,0.998654
62,-0.995025,0.046292,43.103035,2.094307,0.998714
63,-0.999791,0.003057,42.713684,1.964283,0.998773
64,-0.997961,0.039387,41.812546,2.055378,0.998831
65,-0.999782,0.004346,40.279526,1.906154,0.998888
66,-0.99998,6.3e-05,40.724556,1.53832,0.998945
67,-0.999909,0.00119,40.528423,1.391716,0.999
68,-0.999995,1e-05,40.529392,1.30807,0.999054
69,-0.99981,0.003945,40.272388,1.183895,0.999108
70,-0.999993,3.8e-05,40.397774,1.176094,0.99916
71,-0.99979,0.003095,40.920845,1.376462,0.999211
72,-0.999981,0.000262,42.571251,1.064479,0.999261
73,-0.999764,0.003305,44.185276,0.976522,0.99931
74,-0.998132,0.026435,45.111721,0.899646,0.999357
75,-0.9999,0.001859,45.639996,1.047863,0.999403
76,-0.999867,0.002524,44.441753,1.709073,0.999447
77,-0.998156,0.032928,45.252346,1.923938,0.999491
78,-0.999986,5.2e-05,48.102543,1.424596,0.999532
79,-0.999984,0.00011,49.108536,1.400157,0.999572
80,-0.999985,8.9e-05,49.385395,1.545158,0.999611
81,-0.999705,0.005172,49.822685,1.604904,0.999647
82,-0.999708,0.005853,50.152271,1.664861,0.999683
83,-0.999984,0.00017,51.054317,1.797652,0.999716
84,-0.999969,0.000374,51.95657,1.818151,0.999748
85,-0.999671,0.004713,53.29911,1.632522,0.999778
86,-0.999715,0.003724,53.715961,1.864953,0.999806
87,-0.999041,0.018377,57.00174,0.629602,0.999832
88,-0.999964,0.000668,57.776649,0.680232,0.999857
89,-0.999922,0.001025,58.080841,0.717931,0.999879
90,-0.999795,0.00321,58.304844,0.818533,0.9999
91,-0.99996,0.00043,59.21447,0.938183,0.999919
92,-0.999724,0.005763,59.849564,0.918879,0.999936
93,-0.999854,0.002646,60.189224,1.010357,0.999951
94,-0.999958,0.000373,60.53204,1.073579,0.999964
95,-0.999867,0.002601,60.884869,1.125612,0.999975
96,-0.999748,0.005319,60.992882,1.095131,0.999984
97,-0.99997,0.000367,61.329094,1.19717,0.999991
98,-0.999883,0.002521,61.753593,1.184465,0.999996
99,-0.999983,0.00022,61.973236,1.197748,0.999999
100,-0.999828,0.002296,62.631588,1.315338,1.0
