epoch,avg_loss,loss_std,avg_feature_std,feature_spread,momentum
1,-0.903278,0.14162,3.427368,1.401056,0.996
2,-0.924537,0.12781,5.231881,0.885228,0.996004
3,-0.981373,0.070086,5.763109,0.741691,0.996016
4,-0.982852,0.041117,6.396187,0.741925,0.996037
5,-0.906544,0.086418,6.401066,0.640629,0.996065
6,-0.877473,0.032663,6.572634,0.4232,0.996102
7,-0.904964,0.062732,6.456014,0.560129,0.996146
8,-0.907886,0.040877,6.412012,0.468419,0.996198
9,-0.907283,0.050857,6.597905,0.569667,0.996257
10,-0.966953,0.042322,7.337693,0.479587,0.996324
11,-0.980688,0.053205,8.389943,0.527111,0.996397
12,-0.99854,0.011312,9.595348,0.263436,0.996477
13,-0.999589,0.000413,9.785803,0.249565,0.996563
14,-0.990674,0.103551,10.230666,0.839216,0.996655
15,-0.998899,0.00895,12.25218,0.813634,0.996753
16,-0.998918,0.013427,12.332256,0.793525,0.996856
17,-0.999757,0.000101,12.530911,0.828331,0.996963
18,-0.999736,0.000286,12.778192,0.963876,0.997075
19,-0.999498,0.005427,13.110615,0.961607,0.99719
20,-0.998263,0.023504,13.481664,1.06398,0.997309
21,-0.999728,0.000127,14.033394,1.05091,0.997431
22,-0.999414,0.005456,14.598608,1.186286,0.997555
23,-0.999078,0.006458,15.664936,1.376812,0.997681
24,-0.999013,0.00508,17.079411,1.724717,0.997808
25,-0.998978,0.000506,18.330055,1.715384,0.997936
26,-0.999228,0.000573,18.928762,1.877092,0.998064
27,-0.99947,0.000533,19.315786,1.929746,0.998192
28,-0.956502,0.142114,24.511024,3.687301,0.998319
29,-0.973303,0.070615,26.382238,2.075919,0.998445
30,-0.996577,0.021127,26.071602,2.155982,0.998569
31,-0.987536,0.088643,27.221197,2.706798,0.998691
32,-0.995573,0.019822,31.58737,2.800678,0.99881
33,-0.996063,0.026516,32.927128,2.876851,0.998925
34,-0.999003,0.007647,33.341412,2.460882,0.999037
35,-0.996551,0.020874,34.058846,2.644474,0.999144
36,-0.992923,0.029108,35.304325,3.038128,0.999247
37,-0.995136,0.024046,36.142807,3.176882,0.999345
38,-0.995391,0.021432,36.5546,3.184618,0.999437
39,-0.998472,0.009545,37.193867,3.339442,0.999523
40,-0.998422,0.011995,37.45216,3.499454,0.999603
41,-0.999652,0.002646,36.895069,3.067701,0.999676
42,-0.999122,0.008067,37.094208,3.091388,0.999743
43,-0.999426,0.005424,37.530422,2.969563,0.999802
44,-0.999397,0.00357,37.702873,3.225714,0.999854
45,-0.998934,0.007268,37.864494,3.392423,0.999898
46,-0.998655,0.00891,38.48103,3.467835,0.999935
47,-0.999243,0.003956,39.7757,3.868049,0.999963
48,-0.999218,0.005505,40.451832,3.832098,0.999984
49,-0.994709,0.044989,41.419563,3.886837,0.999996
50,-0.99541,0.054517,43.81971,3.64711,1.0
