Epoch 58 | Loss -0.9126 ± 0.0384 | Feature Std 21.0882 ± 0.5662 | Momentum 0.9985
Epoch 59 | Loss -0.9140 ± 0.0399 | Feature Std 21.1012 ± 0.5696 | Momentum 0.9985
Epoch 60 | Loss -0.9097 ± 0.0424 | Feature Std 21.4468 ± 0.5165 | Momentum 0.9986
Epoch 61 | Loss -0.9129 ± 0.0399 | Feature Std 21.5223 ± 0.5468 | Momentum 0.9987
Epoch 62 | Loss -0.9096 ± 0.0395 | Feature Std 21.7424 ± 0.5448 | Momentum 0.9987
Epoch 63 | Loss -0.9094 ± 0.0400 | Feature Std 21.8253 ± 0.5565 | Momentum 0.9988
Epoch 64 | Loss -0.9047 ± 0.0415 | Feature Std 21.9292 ± 0.5509 | Momentum 0.9988
Epoch 65 | Loss -0.9136 ± 0.0363 | Feature Std 22.0493 ± 0.5447 | Momentum 0.9989
Epoch 66 | Loss -0.9144 ± 0.0385 | Feature Std 22.1602 ± 0.5303 | Momentum 0.9989
Epoch 67 | Loss -0.9136 ± 0.0392 | Feature Std 22.4556 ± 0.5123 | Momentum 0.9990
Epoch 68 | Loss -0.9187 ± 0.0343 | Feature Std 22.4977 ± 0.5421 | Momentum 0.9991
Epoch 69 | Loss -0.9134 ± 0.0392 | Feature Std 22.4205 ± 0.5252 | Momentum 0.9991
Epoch 70 | Loss -0.9141 ± 0.0424 | Feature Std 22.4710 ± 0.5310 | Momentum 0.9992
Epoch 71 | Loss -0.9190 ± 0.0323 | Feature Std 22.6115 ± 0.5024 | Momentum 0.9992
Epoch 72 | Loss -0.9158 ± 0.0381 | Feature Std 22.5709 ± 0.4959 | Momentum 0.9993
Epoch 73 | Loss -0.9174 ± 0.0370 | Feature Std 22.6152 ± 0.5232 | Momentum 0.9993
Epoch 74 | Loss -0.9160 ± 0.0375 | Feature Std 22.8262 ± 0.5466 | Momentum 0.9994
Epoch 75 | Loss -0.9202 ± 0.0373 | Feature Std 22.9476 ± 0.4676 | Momentum 0.9994
Epoch 76 | Loss -0.9236 ± 0.0316 | Feature Std 23.0281 ± 0.5181 | Momentum 0.9994
Epoch 77 | Loss -0.9236 ± 0.0375 | Feature Std 23.0831 ± 0.4790 | Momentum 0.9995
Epoch 78 | Loss -0.9227 ± 0.0316 | Feature Std 23.2035 ± 0.4784 | Momentum 0.9995
Epoch 79 | Loss -0.9257 ± 0.0358 | Feature Std 23.2657 ± 0.4669 | Momentum 0.9996
Epoch 80 | Loss -0.9224 ± 0.0329 | Feature Std 23.3181 ± 0.4796 | Momentum 0.9996
Epoch 81 | Loss -0.9263 ± 0.0326 | Feature Std 23.4343 ± 0.4761 | Momentum 0.9996
Epoch 82 | Loss -0.9216 ± 0.0352 | Feature Std 23.6347 ± 0.4438 | Momentum 0.9997
Epoch 83 | Loss -0.9256 ± 0.0346 | Feature Std 23.5783 ± 0.5411 | Momentum 0.9997
Epoch 84 | Loss -0.9283 ± 0.0320 | Feature Std 23.6551 ± 0.4531 | Momentum 0.9997
Epoch 85 | Loss -0.9292 ± 0.0317 | Feature Std 23.8449 ± 0.4318 | Momentum 0.9998
Epoch 86 | Loss -0.9281 ± 0.0331 | Feature Std 24.0315 ± 0.4196 | Momentum 0.9998
Epoch 87 | Loss -0.9276 ± 0.0346 | Feature Std 24.2123 ± 0.4650 | Momentum 0.9998
Epoch 88 | Loss -0.9287 ± 0.0299 | Feature Std 24.3530 ± 0.4622 | Momentum 0.9999
Epoch 89 | Loss -0.9306 ± 0.0312 | Feature Std 24.5776 ± 0.5172 | Momentum 0.9999
Epoch 90 | Loss -0.9246 ± 0.0360 | Feature Std 24.6665 ± 0.5201 | Momentum 0.9999
Epoch 91 | Loss -0.9317 ± 0.0321 | Feature Std 24.7797 ± 0.5311 | Momentum 0.9999
Epoch 92 | Loss -0.9252 ± 0.0377 | Feature Std 24.9890 ± 0.4697 | Momentum 0.9999
Epoch 93 | Loss -0.9314 ± 0.0300 | Feature Std 25.0475 ± 0.4968 | Momentum 1.0000
Epoch 94 | Loss -0.9296 ± 0.0322 | Feature Std 25.1900 ± 0.5483 | Momentum 1.0000
Epoch 95 | Loss -0.9296 ± 0.0343 | Feature Std 25.2988 ± 0.5427 | Momentum 1.0000
Epoch 96 | Loss -0.9304 ± 0.0331 | Feature Std 25.4120 ± 0.4874 | Momentum 1.0000
Epoch 97 | Loss -0.9260 ± 0.0353 | Feature Std 25.5293 ± 0.4985 | Momentum 1.0000
Epoch 98 | Loss -0.9307 ± 0.0309 | Feature Std 25.8538 ± 0.5588 | Momentum 1.0000
Epoch 99 | Loss -0.9354 ± 0.0307 | Feature Std 25.8217 ± 0.4858 | Momentum 1.0000
Epoch 100 | Loss -0.9327 ± 0.0309 | Feature Std 26.0920 ± 0.5140 | Momentum 1.0000
Epoch 1 | Loss -0.7738 ± 0.0996 | Feature Std 2.3858 ± 0.5389 | Momentum 0.9960
Epoch 2 | Loss -0.8737 ± 0.0426 | Feature Std 2.6082 ± 0.3602 | Momentum 0.9960
Epoch 3 | Loss -0.8736 ± 0.0456 | Feature Std 3.0459 ± 0.2949 | Momentum 0.9960
Epoch 4 | Loss -0.8724 ± 0.0495 | Feature Std 3.4343 ± 0.2950 | Momentum 0.9960
Epoch 5 | Loss -0.8726 ± 0.0506 | Feature Std 4.2764 ± 0.3773 | Momentum 0.9960
Epoch 6 | Loss -0.8656 ± 0.0564 | Feature Std 4.6979 ± 0.3507 | Momentum 0.9960
Epoch 7 | Loss -0.8379 ± 0.0638 | Feature Std 5.1642 ± 0.3290 | Momentum 0.9960
Epoch 8 | Loss -0.8439 ± 0.0645 | Feature Std 5.2006 ± 0.4172 | Momentum 0.9960
