Epoch 58 | Loss -0.9194 ± 0.0475 | Feature Std 8.6893 ± 0.6957 | Momentum 0.9985
Epoch 59 | Loss -0.9172 ± 0.0445 | Feature Std 8.9972 ± 0.6919 | Momentum 0.9985
Epoch 60 | Loss -0.9097 ± 0.0454 | Feature Std 9.2263 ± 0.7196 | Momentum 0.9986
Epoch 61 | Loss -0.8952 ± 0.0540 | Feature Std 9.0261 ± 0.6157 | Momentum 0.9987
Epoch 62 | Loss -0.8940 ± 0.0514 | Feature Std 9.7075 ± 0.4815 | Momentum 0.9987
Epoch 63 | Loss -0.8971 ± 0.0442 | Feature Std 9.7299 ± 0.4304 | Momentum 0.9988
Epoch 64 | Loss -0.8930 ± 0.0497 | Feature Std 10.4221 ± 0.4178 | Momentum 0.9988
Epoch 65 | Loss -0.8847 ± 0.0532 | Feature Std 10.5260 ± 0.3676 | Momentum 0.9989
Epoch 66 | Loss -0.8789 ± 0.0620 | Feature Std 11.0165 ± 0.4101 | Momentum 0.9989
Epoch 67 | Loss -0.8800 ± 0.0525 | Feature Std 11.0830 ± 0.3972 | Momentum 0.9990
Epoch 68 | Loss -0.8755 ± 0.0536 | Feature Std 11.4067 ± 0.4333 | Momentum 0.9991
Epoch 69 | Loss -0.8738 ± 0.0584 | Feature Std 11.5846 ± 0.3943 | Momentum 0.9991
Epoch 70 | Loss -0.8663 ± 0.0618 | Feature Std 11.7853 ± 0.3829 | Momentum 0.9992
Epoch 71 | Loss -0.8640 ± 0.0574 | Feature Std 12.1164 ± 0.4315 | Momentum 0.9992
Epoch 72 | Loss -0.8538 ± 0.0623 | Feature Std 12.4908 ± 0.4159 | Momentum 0.9993
Epoch 73 | Loss -0.8576 ± 0.0648 | Feature Std 12.7241 ± 0.4046 | Momentum 0.9993
Epoch 74 | Loss -0.8659 ± 0.0644 | Feature Std 13.2571 ± 0.4227 | Momentum 0.9994
Epoch 75 | Loss -0.8637 ± 0.0618 | Feature Std 13.4770 ± 0.3505 | Momentum 0.9994
Epoch 76 | Loss -0.8635 ± 0.0626 | Feature Std 13.5186 ± 0.3575 | Momentum 0.9994
Epoch 77 | Loss -0.8564 ± 0.0657 | Feature Std 13.7436 ± 0.3389 | Momentum 0.9995
Epoch 78 | Loss -0.8646 ± 0.0617 | Feature Std 13.8910 ± 0.3373 | Momentum 0.9995
Epoch 79 | Loss -0.8716 ± 0.0611 | Feature Std 14.3358 ± 0.3421 | Momentum 0.9996
Epoch 80 | Loss -0.8714 ± 0.0648 | Feature Std 14.5303 ± 0.3760 | Momentum 0.9996
Epoch 81 | Loss -0.8652 ± 0.0611 | Feature Std 14.7568 ± 0.3881 | Momentum 0.9996
Epoch 82 | Loss -0.8644 ± 0.0616 | Feature Std 14.8945 ± 0.3228 | Momentum 0.9997
Epoch 83 | Loss -0.8714 ± 0.0625 | Feature Std 15.0378 ± 0.3639 | Momentum 0.9997
