Epoch 1 | Loss -0.9353 ± 0.0884 | Feature Std 2.1757 ± 0.3295 | Momentum 0.9960
Epoch 2 | Loss -0.9769 ± 0.0055 | Feature Std 2.6211 ± 0.1879 | Momentum 0.9960
Epoch 3 | Loss -0.9742 ± 0.0071 | Feature Std 2.9736 ± 0.2988 | Momentum 0.9960
Epoch 4 | Loss -0.9825 ± 0.0324 | Feature Std 3.7050 ± 0.4995 | Momentum 0.9960
Epoch 5 | Loss -1.0000 ± 0.0001 | Feature Std 4.1579 ± 0.3020 | Momentum 0.9960
Epoch 6 | Loss -1.0000 ± 0.0001 | Feature Std 4.5278 ± 0.4460 | Momentum 0.9960
Epoch 7 | Loss -0.9996 ± 0.0053 | Feature Std 4.9539 ± 0.2369 | Momentum 0.9960
Epoch 8 | Loss -1.0000 ± 0.0000 | Feature Std 4.7727 ± 0.2395 | Momentum 0.9960
Epoch 9 | Loss -0.9999 ± 0.0012 | Feature Std 4.7085 ± 0.2403 | Momentum 0.9961
Epoch 10 | Loss -0.9999 ± 0.0013 | Feature Std 4.7304 ± 0.2523 | Momentum 0.9961
Epoch 11 | Loss -1.0000 ± 0.0001 | Feature Std 4.7521 ± 0.2498 | Momentum 0.9961
Epoch 12 | Loss -1.0000 ± 0.0005 | Feature Std 4.7640 ± 0.2465 | Momentum 0.9961
Epoch 13 | Loss -0.9997 ± 0.0048 | Feature Std 4.9456 ± 0.2719 | Momentum 0.9961
Epoch 14 | Loss -1.0000 ± 0.0001 | Feature Std 5.3809 ± 0.2458 | Momentum 0.9962
Epoch 15 | Loss -1.0000 ± 0.0000 | Feature Std 5.4289 ± 0.2771 | Momentum 0.9962
Epoch 16 | Loss -0.9992 ± 0.0124 | Feature Std 5.9697 ± 0.8509 | Momentum 0.9962
Epoch 17 | Loss -0.9996 ± 0.0062 | Feature Std 8.0256 ± 0.6058 | Momentum 0.9963
Epoch 18 | Loss -1.0000 ± 0.0000 | Feature Std 8.5799 ± 0.3902 | Momentum 0.9963
Epoch 19 | Loss -0.9998 ± 0.0049 | Feature Std 8.7273 ± 0.4683 | Momentum 0.9963
Epoch 20 | Loss -1.0000 ± 0.0000 | Feature Std 8.8709 ± 0.5062 | Momentum 0.9964
Epoch 21 | Loss -0.9998 ± 0.0048 | Feature Std 9.0663 ± 0.6344 | Momentum 0.9964
Epoch 22 | Loss -1.0000 ± 0.0000 | Feature Std 9.4508 ± 0.7789 | Momentum 0.9964
Epoch 23 | Loss -0.9877 ± 0.1096 | Feature Std 11.2569 ± 3.1020 | Momentum 0.9965
Epoch 24 | Loss -0.9998 ± 0.0022 | Feature Std 18.8638 ± 1.2752 | Momentum 0.9965
Epoch 25 | Loss -0.9994 ± 0.0060 | Feature Std 19.2881 ± 1.3186 | Momentum 0.9966
Epoch 26 | Loss -0.9978 ± 0.0144 | Feature Std 20.2747 ± 1.1803 | Momentum 0.9966
Epoch 27 | Loss -0.9987 ± 0.0106 | Feature Std 20.6633 ± 1.1251 | Momentum 0.9966
Epoch 28 | Loss -1.0000 ± 0.0000 | Feature Std 20.6960 ± 1.0974 | Momentum 0.9967
Epoch 29 | Loss -1.0000 ± 0.0000 | Feature Std 20.7086 ± 1.0629 | Momentum 0.9967
Epoch 30 | Loss -0.9999 ± 0.0026 | Feature Std 20.7399 ± 1.1447 | Momentum 0.9968
Epoch 31 | Loss -0.9996 ± 0.0058 | Feature Std 20.7871 ± 1.1635 | Momentum 0.9968
Epoch 32 | Loss -0.9997 ± 0.0038 | Feature Std 21.0480 ± 1.2078 | Momentum 0.9969
Epoch 33 | Loss -0.9996 ± 0.0057 | Feature Std 21.7319 ± 1.0731 | Momentum 0.9969
Epoch 34 | Loss -0.9999 ± 0.0027 | Feature Std 22.1109 ± 0.9860 | Momentum 0.9970
Epoch 35 | Loss -0.9999 ± 0.0027 | Feature Std 22.3289 ± 1.0688 | Momentum 0.9971
Epoch 36 | Loss -0.9995 ± 0.0110 | Feature Std 22.5438 ± 1.0878 | Momentum 0.9971
Epoch 37 | Loss -1.0000 ± 0.0000 | Feature Std 22.6849 ± 0.9962 | Momentum 0.9972
Epoch 38 | Loss -0.9996 ± 0.0047 | Feature Std 22.7823 ± 1.0707 | Momentum 0.9972
Epoch 39 | Loss -1.0000 ± 0.0000 | Feature Std 23.0128 ± 1.0971 | Momentum 0.9973
Epoch 40 | Loss -1.0000 ± 0.0001 | Feature Std 23.1592 ± 1.1755 | Momentum 0.9973
Epoch 41 | Loss -0.9996 ± 0.0061 | Feature Std 23.8595 ± 1.2268 | Momentum 0.9974
Epoch 42 | Loss -0.9993 ± 0.0086 | Feature Std 24.5475 ± 1.2141 | Momentum 0.9975
Epoch 43 | Loss -0.9996 ± 0.0061 | Feature Std 26.1740 ± 1.2851 | Momentum 0.9975
Epoch 44 | Loss -0.9991 ± 0.0092 | Feature Std 26.8382 ± 1.8106 | Momentum 0.9976
Epoch 45 | Loss -0.9996 ± 0.0058 | Feature Std 26.5590 ± 1.8979 | Momentum 0.9977
Epoch 46 | Loss -0.9990 ± 0.0100 | Feature Std 28.2475 ± 2.3333 | Momentum 0.9977
Epoch 47 | Loss -0.9998 ± 0.0053 | Feature Std 29.5090 ± 1.7466 | Momentum 0.9978
Epoch 48 | Loss -0.9996 ± 0.0039 | Feature Std 29.3135 ± 1.9194 | Momentum 0.9978
Epoch 49 | Loss -0.9995 ± 0.0048 | Feature Std 29.4974 ± 2.1041 | Momentum 0.9979
Epoch 50 | Loss -1.0000 ± 0.0000 | Feature Std 30.8968 ± 2.1310 | Momentum 0.9980
Epoch 51 | Loss -0.9992 ± 0.0100 | Feature Std 32.3078 ± 2.0524 | Momentum 0.9980
Epoch 52 | Loss -1.0000 ± 0.0000 | Feature Std 32.9072 ± 2.3322 | Momentum 0.9981
Epoch 53 | Loss -1.0000 ± 0.0000 | Feature Std 32.9812 ± 2.1971 | Momentum 0.9982
Epoch 54 | Loss -1.0000 ± 0.0000 | Feature Std 33.0059 ± 2.2546 | Momentum 0.9982
Epoch 55 | Loss -1.0000 ± 0.0000 | Feature Std 33.0438 ± 2.2391 | Momentum 0.9983
Epoch 56 | Loss -0.9998 ± 0.0054 | Feature Std 33.4901 ± 2.3709 | Momentum 0.9983
Epoch 57 | Loss -1.0000 ± 0.0000 | Feature Std 33.6790 ± 2.2745 | Momentum 0.9984
Epoch 58 | Loss -0.9999 ± 0.0026 | Feature Std 33.9397 ± 2.3833 | Momentum 0.9985
Epoch 59 | Loss -0.9828 ± 0.1313 | Feature Std 39.5724 ± 4.9846 | Momentum 0.9985
Epoch 60 | Loss -0.9996 ± 0.0059 | Feature Std 44.9261 ± 1.7867 | Momentum 0.9986
Epoch 61 | Loss -0.9997 ± 0.0033 | Feature Std 43.8563 ± 1.9637 | Momentum 0.9987
Epoch 62 | Loss -0.9950 ± 0.0463 | Feature Std 43.1030 ± 2.0943 | Momentum 0.9987
Epoch 63 | Loss -0.9998 ± 0.0031 | Feature Std 42.7137 ± 1.9643 | Momentum 0.9988
Epoch 64 | Loss -0.9980 ± 0.0394 | Feature Std 41.8125 ± 2.0554 | Momentum 0.9988
Epoch 65 | Loss -0.9998 ± 0.0043 | Feature Std 40.2795 ± 1.9062 | Momentum 0.9989
Epoch 66 | Loss -1.0000 ± 0.0001 | Feature Std 40.7246 ± 1.5383 | Momentum 0.9989
Epoch 67 | Loss -0.9999 ± 0.0012 | Feature Std 40.5284 ± 1.3917 | Momentum 0.9990
Epoch 68 | Loss -1.0000 ± 0.0000 | Feature Std 40.5294 ± 1.3081 | Momentum 0.9991
Epoch 69 | Loss -0.9998 ± 0.0039 | Feature Std 40.2724 ± 1.1839 | Momentum 0.9991
Epoch 70 | Loss -1.0000 ± 0.0000 | Feature Std 40.3978 ± 1.1761 | Momentum 0.9992
Epoch 71 | Loss -0.9998 ± 0.0031 | Feature Std 40.9208 ± 1.3765 | Momentum 0.9992
Epoch 72 | Loss -1.0000 ± 0.0003 | Feature Std 42.5713 ± 1.0645 | Momentum 0.9993
Epoch 73 | Loss -0.9998 ± 0.0033 | Feature Std 44.1853 ± 0.9765 | Momentum 0.9993
Epoch 74 | Loss -0.9981 ± 0.0264 | Feature Std 45.1117 ± 0.8996 | Momentum 0.9994
Epoch 75 | Loss -0.9999 ± 0.0019 | Feature Std 45.6400 ± 1.0479 | Momentum 0.9994
Epoch 76 | Loss -0.9999 ± 0.0025 | Feature Std 44.4418 ± 1.7091 | Momentum 0.9994
Epoch 77 | Loss -0.9982 ± 0.0329 | Feature Std 45.2523 ± 1.9239 | Momentum 0.9995
Epoch 78 | Loss -1.0000 ± 0.0001 | Feature Std 48.1025 ± 1.4246 | Momentum 0.9995
Epoch 79 | Loss -1.0000 ± 0.0001 | Feature Std 49.1085 ± 1.4002 | Momentum 0.9996
Epoch 80 | Loss -1.0000 ± 0.0001 | Feature Std 49.3854 ± 1.5452 | Momentum 0.9996
Epoch 81 | Loss -0.9997 ± 0.0052 | Feature Std 49.8227 ± 1.6049 | Momentum 0.9996
Epoch 82 | Loss -0.9997 ± 0.0059 | Feature Std 50.1523 ± 1.6649 | Momentum 0.9997
Epoch 83 | Loss -1.0000 ± 0.0002 | Feature Std 51.0543 ± 1.7977 | Momentum 0.9997
Epoch 84 | Loss -1.0000 ± 0.0004 | Feature Std 51.9566 ± 1.8182 | Momentum 0.9997
Epoch 85 | Loss -0.9997 ± 0.0047 | Feature Std 53.2991 ± 1.6325 | Momentum 0.9998
Epoch 86 | Loss -0.9997 ± 0.0037 | Feature Std 53.7160 ± 1.8650 | Momentum 0.9998
Epoch 87 | Loss -0.9990 ± 0.0184 | Feature Std 57.0017 ± 0.6296 | Momentum 0.9998
Epoch 88 | Loss -1.0000 ± 0.0007 | Feature Std 57.7766 ± 0.6802 | Momentum 0.9999
Epoch 89 | Loss -0.9999 ± 0.0010 | Feature Std 58.0808 ± 0.7179 | Momentum 0.9999
Epoch 90 | Loss -0.9998 ± 0.0032 | Feature Std 58.3048 ± 0.8185 | Momentum 0.9999
Epoch 91 | Loss -1.0000 ± 0.0004 | Feature Std 59.2145 ± 0.9382 | Momentum 0.9999
Epoch 92 | Loss -0.9997 ± 0.0058 | Feature Std 59.8496 ± 0.9189 | Momentum 0.9999
Epoch 93 | Loss -0.9999 ± 0.0026 | Feature Std 60.1892 ± 1.0104 | Momentum 1.0000
Epoch 94 | Loss -1.0000 ± 0.0004 | Feature Std 60.5320 ± 1.0736 | Momentum 1.0000
Epoch 95 | Loss -0.9999 ± 0.0026 | Feature Std 60.8849 ± 1.1256 | Momentum 1.0000
Epoch 96 | Loss -0.9997 ± 0.0053 | Feature Std 60.9929 ± 1.0951 | Momentum 1.0000
Epoch 97 | Loss -1.0000 ± 0.0004 | Feature Std 61.3291 ± 1.1972 | Momentum 1.0000
Epoch 98 | Loss -0.9999 ± 0.0025 | Feature Std 61.7536 ± 1.1845 | Momentum 1.0000
Epoch 99 | Loss -1.0000 ± 0.0002 | Feature Std 61.9732 ± 1.1977 | Momentum 1.0000
Epoch 100 | Loss -0.9998 ± 0.0023 | Feature Std 62.6316 ± 1.3153 | Momentum 1.0000
